Desert desert neighbors:null;isPickedUp:false
WaterSource waterSource1 neighbors:pipe1;isPickedUp:false;x:1;y:1
WaterSource waterSource2 neighbors:pipe2;isPickedUp:false;x:1;y:133
WaterSource waterSource3 neighbors:pipe3;isPickedUp:false;x:1;y:266
WaterSource waterSource4 neighbors:pipe4;isPickedUp:false;x:1;y:400
WaterTank waterTank1 neighbors:pipe5;isPickedUp:false;waterLevel:0;x:448;y:1
WaterTank waterTank2 neighbors:pipe6;isPickedUp:false;waterLevel:0;x:448;y:133
WaterTank waterTank3 neighbors:pipe7;isPickedUp:false;waterLevel:0;x:448;y:266
WaterTank waterTank4 neighbors:pipe8;isPickedUp:false;waterLevel:0;x:448;y:400
Pump pump neighbors:pipe1,pipe2,pipe3,pipe4,pipe5,pipe6,pipe7,pipe8;isPickedUp:false;pumpTank:pumpTank;isDamaged:false;toPipeIdx:1;fromPipeIdx:5;x:225;y:225
PumpTank pumpTank storedWater:0;capacity:5
Pipe pipe1 neighbors:waterSource1,pump;isPickedUp:false;capacity:3;waterLevel:0;isDamaged:false;isSlippery:false;fixedTime:0;isSticky:false
Pipe pipe2 neighbors:waterSource2,pump;isPickedUp:false;capacity:3;waterLevel:0;isDamaged:false;isSlippery:false;fixedTime:0;isSticky:false
Pipe pipe3 neighbors:waterSource3,pump;isPickedUp:false;capacity:3;waterLevel:0;isDamaged:false;isSlippery:false;fixedTime:0;isSticky:false
Pipe pipe4 neighbors:waterSource4,pump;isPickedUp:false;capacity:3;waterLevel:0;isDamaged:false;isSlippery:false;fixedTime:0;isSticky:false
Pipe pipe5 neighbors:waterTank1,pump;isPickedUp:false;capacity:3;waterLevel:0;isDamaged:false;isSlippery:false;fixedTime:0;isSticky:false
Pipe pipe6 neighbors:waterTank2,pump;isPickedUp:false;capacity:3;waterLevel:0;isDamaged:false;isSlippery:false;fixedTime:0;isSticky:false
Pipe pipe7 neighbors:waterTank3,pump;isPickedUp:false;capacity:3;waterLevel:0;isDamaged:false;isSlippery:false;fixedTime:0;isSticky:false
Pipe pipe8 neighbors:waterTank4,pump;isPickedUp:false;capacity:3;waterLevel:0;isDamaged:false;isSlippery:false;fixedTime:0;isSticky:false
Plumber plumber1 stuckCounter:0;pickedUpPipe:null;pickedUpPump:null;element:pump
Plumber plumber2 stuckCounter:0;pickedUpPipe:null;pickedUpPump:null;element:pump
Saboteur saboteur1 stuckCounter:0;element:pump
Saboteur saboteur2 stuckCounter:0;element:pump
