Pálya betöltése sikeres.
Csõvég felvétele sikeres.
Pipe pipe neighbors:pump2;isPickedUp:true;capacity:0;waterLevel:0;isDamaged:false;isSlippery:false;fixedTime:0;isSticky:false
Plumber plumber stuckCounter:0;pickedUpPipe:pipe;pickedUpPump:null;element:pump
Csatlakoztatás sikeres.
Pipe pipe neighbors:pump2,pump;isPickedUp:false;capacity:0;waterLevel:0;isDamaged:false;isSlippery:false;fixedTime:0;isSticky:false
Plumber plumber stuckCounter:0;pickedUpPipe:null;pickedUpPump:null;element:pump
Csõvég felvétele sikeres.
Új pozíció: pipe.
Új pozíció: pump2.
Csõvég felvétele sikertelen.
